Ligne Excel;Ancien IDEleve;Matricule;Motif
46;50;11-385;Famille 46 absente : élève importé sans famille
85;90;13-248;Famille 86 absente : élève importé sans famille
96;102;13-078;Famille 97 absente : élève importé sans famille
102;108;10-108;Famille 103 absente : élève importé sans famille
154;164;09-019;Famille 160 absente : élève importé sans famille
191;204;12-115;Famille 198 absente : élève importé sans famille
196;209;11-094;Famille 203 absente : élève importé sans famille
198;211;13-106;Famille 205 absente : élève importé sans famille
213;228;11-272;Famille 221 absente : élève importé sans famille
215;230;11-018;Famille 223 absente : élève importé sans famille
220;235;11-042;Famille 228 absente : élève importé sans famille
221;236;12-148;Famille 229 absente : élève importé sans famille
231;246;13-219;Famille 239 absente : élève importé sans famille
235;250;12-248;Famille 243 absente : élève importé sans famille
236;251;11-019;Famille 223 absente : élève importé sans famille
245;261;11-100;Famille 251 absente : élève importé sans famille
254;270;13-083;Famille 259 absente : élève importé sans famille
257;273;13-057;Famille 262 absente : élève importé sans famille
264;280;13-079;Famille 97 absente : élève importé sans famille
273;289;13-201;Famille 1006 absente : élève importé sans famille
274;290;13-098;Famille 277 absente : élève importé sans famille
295;311;13-127;Famille 299 absente : élève importé sans famille
321;338;10-038;Famille 324 absente : élève importé sans famille
331;348;10-169;Famille 333 absente : élève importé sans famille
347;365;10-347;Famille 351 absente : élève importé sans famille
355;373;12-272;Famille 357 absente : élève importé sans famille
356;374;12-097;Famille 358 absente : élève importé sans famille
362;380;10-201;Famille 362 absente : élève importé sans famille
364;382;09-029;Famille 364 absente : élève importé sans famille
392;410;12-261;Famille 389 absente : élève importé sans famille
393;411;11-338;Famille 390 absente : élève importé sans famille
407;425;13-220;Famille 400 absente : élève importé sans famille
412;430;11-099;Famille 251 absente : élève importé sans famille
450;469;11-218;Famille 438 absente : élève importé sans famille
460;479;13-059;Famille 448 absente : élève importé sans famille
479;499;10-206;Famille 465 absente : élève importé sans famille
485;505;13-198;Famille 471 absente : élève importé sans famille
488;508;11-288;Famille 474 absente : élève importé sans famille
491;511;08-033;Famille 476 absente : élève importé sans famille
494;514;08-396;Famille 479 absente : élève importé sans famille
498;518;10-196;Famille 481 absente : élève importé sans famille
510;533;13-181;Famille 492 absente : élève importé sans famille
573;601;13-062;Famille 547 absente : élève importé sans famille
613;644;08-423;Famille 583 absente : élève importé sans famille
616;648;13-056;Famille 586 absente : élève importé sans famille
617;649;13-116;Famille 587 absente : élève importé sans famille
620;652;08-324;Famille 589 absente : élève importé sans famille
624;656;13-087;Famille 593 absente : élève importé sans famille
638;672;13-048;Famille 604 absente : élève importé sans famille
655;689;08-435;Famille 617 absente : élève importé sans famille
659;694;10-057;Famille 620 absente : élève importé sans famille
666;703;08-446;Famille 628 absente : élève importé sans famille
678;716;08-094;Famille 636 absente : élève importé sans famille
681;719;08-38;Famille 638 absente : élève importé sans famille
703;744;13-246;Famille 657 absente : élève importé sans famille
725;768;13-024;Famille 672 absente : élève importé sans famille
727;770;13-131;Famille 673 absente : élève importé sans famille
773;821;13-076;Famille 702 absente : élève importé sans famille
780;828;13-139;Famille 707 absente : élève importé sans famille
784;832;13-209;Famille 489 absente : élève importé sans famille
846;895;13-190;Famille 744 absente : élève importé sans famille
874;923;14-004;Famille 761 absente : élève importé sans famille
875;925;14-005;Famille 761 absente : élève importé sans famille
986;1042;14-115;Famille 856 absente : élève importé sans famille
987;1043;14114;Famille 856 absente : élève importé sans famille
1045;1103;14-168;Famille 902 absente : élève importé sans famille
1126;1186;14-244;Famille 959 absente : élève importé sans famille
1225;1289;15-098;Famille 251 absente : élève importé sans famille
1265;1330;15-143;Famille 1068 absente : élève importé sans famille
1376;1448;15-247;Famille 1152 absente : élève importé sans famille
1456;1532;16-022;Famille 489 absente : élève importé sans famille
1713;1798;16-296;Famille 1407 absente : élève importé sans famille
1738;1824;16-321;Famille 1423 absente : élève importé sans famille
1876;1965;17-131;Famille 1515 absente : élève importé sans famille
1907;1997;17-163;Famille 97 absente : élève importé sans famille
1912;2002;17-168;Famille 1536 absente : élève importé sans famille
1945;2036;17-202;Famille 489 absente : élève importé sans famille
1946;2037;17-203;Famille 489 absente : élève importé sans famille
1987;2078;17-246;Famille 1587 absente : élève importé sans famille
2038;2130;18-017;Famille 277 absente : élève importé sans famille
2096;2188;18-074;Famille 672 absente : élève importé sans famille
2234;2326;19-007;Famille 1746 absente : élève importé sans famille
2240;2332;19-013;Famille 1750 absente : élève importé sans famille
2241;2333;19-014;Famille 1752 absente : élève importé sans famille
2242;2334;19-015;Famille 1750 absente : élève importé sans famille
2250;2342;19-023;Famille 1758 absente : élève importé sans famille
2251;2343;19-024;Famille 1759 absente : élève importé sans famille
2456;2558;20-003;Famille 277 absente : élève importé sans famille
2540;2643;20-083;Famille 1959 absente : élève importé sans famille
2578;2681;20-122;Nationalité 13 absente : valeur laissée vide
2853;2969;22-012;Religion 10 absente : valeur laissée vide
3079;3198;23-028;Famille 2332 absente : élève importé sans famille
3263;3384;24-019;Famille 2458 absente : élève importé sans famille
3264;3385;24-020;Famille 2458 absente : élève importé sans famille
3478;3602;25-003;Famille 2599 absente : élève importé sans famille
3479;3603;25-004;Famille 2599 absente : élève importé sans famille
